Name	P	Pdot	DM	RA	Dec	l	b	Burst Rate	log[B]	Age log[t]	Distance	S_140 MHz	S_350 MHz	S_1400 MHz	Pulse Width 140 MHz	Pulse Width 350 MHz	Pulse Width 1400 MHz	RM	Linear Polarzation	Survey
Name	s	10^-15 s/s	pc/cm^3	hh:mm:ss.s	dd:mm:ss.s	degree	degree	1/h	G	yr	kpc	mJy	mJy	mJy	ms	ms	ms	rad m^-2	%	
J0054+69	--	--	90.3	00:54:28	69:26:00	123.2	6.56	--	--	--	3.1	--	--	--	--	--	--	--	--	GBNCC
J0054+66	1.39	--	15	00:54	66:50:00	123.18	3.96	240	--	--	1	--	15	--	--	--	--	--	--	GBTNGP
J0103+54	0.354	--	55.6	01:03:37	54:02:00	124.74	-8.8	390	--	--	2.2	--	--	--	--	--	--	--	--	GBNCC
J0156+04**	--	--	27.5	01:56:01	04:02	152	-55	--	--	--	1.3	--	300	--	--	3.8	--	--	--	AODrift
J0201+7005	1.349	5.514	21.03	02:01:41	70:05:18	128.88	8.03	--	12.45	6.59	1.1	--	--	--	--	--	--	--	--	GBNCC
J0301+20	1.207	--	19	03:01:04	20:52:33	159.43	-32.65	--	--	--	1.7	--	--	--	--	--	--	--	--	LOTASS
J0332+79	2.056	--	16.67	03:32:45	79:10:00	130.3	18.68	--	--	--	0.9	--	--	--	--	--	--	--	--	GBNCC
J0410-31	1.879	0.88	9.2	04:10:39	-31:07:29	230.59	-46.67	107	12.1	7.53	0.5	--	--	470	--		18	16	60	BS11
J0441-04*	--	--	20	04:41	-04:18:00	200.95	-30.83	--	--	--	0.9	--	--	--	--	--	--	--	--	GBT350
J0447-04	2.188	--	29.83	04:47	-04:35:00	202.07	-29.66	41	--	--	1.3	--	--	--	--	8	--	--	--	GBT350
J0513-04*	--	--	18.5	05:13	-04:18:00	205.23	-23.81	--	--	--	0.9	--	--	--	--	--	--	--	--	GBT350
J0544-20	--	--	56.9	05:44:12	20:50	186.8	-4.5	4	--	--	1.8	--	300	--	--	2.3	--	--	--	AODrift
J0545-03	1.074	--	67.2	05:45	-03:10:00	208.09	-16.21	--	--	--	3.2	--	--	--	--	--	--	--	--	GBT350
J0550+09	1.745	--	86.6	05:50:28	9:51	197.1	-8.8	47	--	--	2.9	--	100	--	--	22.5	--	--	--	AODrift
J0614-03**	0.136	--	17.9	06:15	-03:29:00	211.89	-9.69	--	--	--	1.1	--	--	--	--	--	--	--	--	GBT350
J0621-55	--	--	22	06:20:42	-56:05	264.822	-26.416	--	--	--	1.1	--	--	--	--	--	--	--	--	SUPERB
J0627+16	2.180	--	113	06:27:13	16:12	195.79	2.12	23	--	--	3.2	--	--	150	--	--	0.3	--	--	PALFA2
J0628+09	1.241	0.548	88.3	06:28:36	09:09:14	202.19	-0.86	141	11.92	7.56	2.5	--	--	85	--	--	10	124	50	PALFA2
J0735-62	4.865	--	19.4	07:35:24	-62:58:00	274.74	-19.21	--	--	--	0.9	--	--	580	--	--	14	--	20	BS10 / K11
J0837-24**	--	--	142.8	08:37:44	-24:47:48	247.45	9.8	5	--	--	6.3	--	--	420	--	--	1	352	50	BS11
J0845-36*	0.2123	0.129	29	08:45	-36	257.4	4.26	1.8	--	--	0.4	--	--	230	--	--	2	--	--	K11
J0847-4316	5.977	119	292.5	08:47:57	-43:16:57	263.44	0.16	1.42	13.4	5.9	5.5	--	--	100	--	--	30	--	20	PM1 / K11
J0912-38	1.526	3.59	71.5	09:12:43	-38:51:03	263.1	6.58	32	--	--	0.52	--	--	190	--	--	6	--	--	BS11
J0923-31*	--	--	72	09:23:58	-31:57	259.7	13	--	--	--	0.56	--	--	--	--	--	30	--	--	BS10
J0941-39	0.587	4.4	78.2	09:41:38	-39:41	267.24	10.33	--	12.2	6.32	0.56	--	--	580	--	--	6	-78	40	BS10
J0957-06	1.724	--	26.95	09:57	-06:17	244.76	36.2	180	--	--	1.2	--	--	--	--	11.98	--	--	--	GBT350
J1014-48	1.509	--	87	10:14:18	-48:49:42	278.14	6.33	16	--	--	2.6	--	--	140	--	--	21	--	--	BS11
J1048-5838	1.231	12.19	70.7	10:48:13	-58:38:19	287.47	0.48	8.36	12.59	6.204	1.8	--	--	630	--	--	3.7	--	15	PM2 / K11
J1059-01*	--	--	18.7	10:59	-01:02:00	254.53	50.96	--	--	--	0.78	--	--	--	--	--	--	--	--	GBT350
J1111-55**	--	--	235	11:11	-55	288.79	5.09	0.4	--	--	5.8	--	--	80	--	--	16	--	--	K11
J1126-27	0.358	--	26.86	11:26	-27:37	280.68	31.54	180	--	--	1.1	--	--	--	--	--	--	--	--	GBNCC
J1129-53	1.063	--	77.0	11:29:21	-53:31	290.58	7.88	36.2	--	--	2.1	--	--	320	--	--	14	-19	30	BS10
J1135-49*	--	--	114	11:35:56	-49:25:31	290.53	11.62	1.3	--	--	3.5	--	--	120	--	--	9	--	--	BS11
J1153-21	2.343	--	34.8	11:53	-21:18	285.19	39.55	150	--	--	1.6	--	--	--	--	--	--	--	--	GBNCC
J1216-50	6.355	--	110	12:16:20	-50:27:01	297.23	12.03	13	--	--	3.4	--	--	130	--	--	9	--	--	BS11
J1226-3223	6.193	4.312	36.7	12:26:47	-32:23:01	296.9	30.19	40.9	12.72	7.66	1.4	--	--	590	--	--	26	-63	30	BS10 / K11
J1307-67	3.651	--	44	13:07:41	-67:03:27	304.52	-4.24	11	--	--	1.3	--	--	70	--	--	32	--	--	BS11
J1308-67**	--	--	44	13:08	-67	304.55	-4.18	0.6	--	--	1.2	--	--	270	--	--	2	--	--	K11
J1311-59*	--	--	152	13:11	-59	305.45	3.78	0.3	--	--	3.1	--	--	130	--	--	16	--	--	K11
J1317-5759	2.642	12.6	145.3	13:17:46	-57:59:31	306.43	4.7	4.5	12.8	6.5	3.2	--	--	1100	--	--	10	174	35	PM1 / K11
J1332-03	1.106	--	27.1	13:32	-03:26	322.25	57.91	40	--	--	1.9	--	--	--	--	--	--	--	--	GBT350
J1336-20**	0.184	--	19.3	13:36	-20:34:00	316.82	41.1	--	--	--	0.89	--	--	--	--	--	--	--	--	GBT350
J1354+24*	--	--	20	13:54	24:54:00	27.43	75.78	--	--	--	1.8	--	--	--	--	--	--	--	--	GBNCC
J1404-58**	--	--	229	14:04	-58	312.45	3.53	1.1	--	--	4.9	--	--	220	--	--	4	--	--	K11
J1423-56	1.427	--	32.9	14:23:11	-56:47:00	315.29	3.87	12	--	--	0.99	--	--	930	--	--	4.5	-1	30	PM2 / K11
J1424-56**	--	--	27	14:24:23	-56:40:47	315.48	3.91	7	--	--	0.89	--	--	110	--	--	22	--	--	BS11
J1433+00	--	--	23.5	14:33:30	0:28	349.75	53.79	2	--	--	1.7	--	300	--	--	3.8	--	--	--	AODrift
J1439+76	0.948	--	22.29	14:39	76:55	115.4	38.6	450	--	--	1.1	--	--	--	--	--	--	--	--	GBNCC
J1444-6026	4.759	18.5	367.7	14:44:06	-60:26:09	316.4	-0.54	0.78	13	6.6	5.5	--	--	280	--	--	20	--	--	PM1 / K11
J1513-5946	1.046	8.53	171.7	15:13:45	-59:46:32	319.97	-1.7	20	12.5	--	3.1	--	--	830	--	--	3.3	104	35	PM2 / K11
J1534-46	0.365	--	64.4	15:34:08	-46:14	330.13	8.11	--	--	--	1.75	--	--	140	--	--	10	--	--	BS10
J1538+2345	3.449	6.9	14.9	15:38:06	23:45:04	37.32	52.39	--	12.69	6.9	1.2	--	--	--	--	--	--	--	--	GBT350
J1541-42*	--	--	60	15:41:55	-42:18:50	333.51	10.21	7	--	--	1.9	--	--	150	--	--	4	--	--	BS11
J1549-57	0.738	--	17.7	15:49:05	-57:21:37	292.78	-3.22	73	--	--	0.76	--	--	210	--	--	4	--	--	BS11
J1554-5209	0.125	2.29	130.8	15:54:27	-52:09:38	329.01	1.19	50.3	11.7	--	4.5	--	--	1400	--	--	1	-139	70	PM2 / K11
J1554+18	--	--	24	15:54:17	18:04	30.69	47.07	11	--	--	1.8	--	200		--	7.6	--	--	--	AODrift
J1603+18	0.503	--	29.7	16:03:34	18:51	32.85	45.28	4	--	--	2.7	--	200		--	8.8	--	--	--	AODrift
J1611-01	1.297	--	27.21	16:11	-01:28	10.44	34.16	51	--	--	1.3	--	--	--	--	4.42	--	--	--	GBT350
J1610-17*	1.3	--	52.5	16:10:11	-17:50	356.26	24.7	13.6	--	--	2.2	--	--	230	--	--	5	--	--	BS10
J1623-08	0.503	1.958	59.79	16:23:43	-08:41:37	5.78	27.37	154	12	6.608	3.4	--	8	--	--	5	--	--	--	GBT350
J1647-36	0.212	--	223.9	16:47:47	-36:07:04	347.07	5.97	436.4	--	--	5.3	--	--	250	--	--	9.9	--	--	BS10
J1649-46*	0.557	--	331	16:49:25	-46:53:09	339.65	-0.76	0.3	--	--	5	--	--	135	--	--	16	--	--	K11
J1652-4406	7.707	9.5	786	16:52:59	-44:06:05	341.56	-0.09	0.2	12.9	--	8.4	--	--	40	--	--	64	--	--	K11
J1653-2330	0.545	13.51	74.5	16:53:31	-23:30:20	357.85	12.7	40.9	12.21	5.8	2	--	--	1300	--	--	0.52	--	--	BB / K11
J1703-38	6.443	--	375	17:03:26	-38:12	347.41	2.04	3.2	--	--	5.7	--	--	160	--	--	9	--	--	PM2 / K11
J1705-04	0.237	--	42.95	17:05	-04:41	15.71	21.1	26	--	--	1.65	--	--	--	--	--	--	--	--	GBT350
J1707-44	5.764	11.7	380	17:07:41	-44:17:19	342.88	-2.4	8.5	12.9	--	6.7	--	--	575	--	--	12.1	-655	50	PM2 / K11
J1709-43*	--	--	228	17:09:47	-43:54:43	343.57	-2.36	7	--	--	4.4	--	--	240	--	--	3	--	--	BS11
J1717+03	3.901	--	25.6	17:17:56	03:11	24.78	22.2	8	--	--	1.15	--	200	--	--	8.4	--	--	--	AODrift
J1720+00	3.357	--	46.2	17:20:55	00:40	22.79	20.35	33	--	--	1.8	--	200	--	--	7.2	--	--	--	AODrift
J1724-35	1.422	--	554.9	17:24:43	-35:49	351.83	-0.01	3.4	--	--	5.7	--	--	180	--	--	6	--	--	PM2 / K11
J1727-29**	--	--	92.8	17:27:19	-29:59	356.97	2.8	0.9	--	--	1.85	--	--	160	--	--	7.2	--	--	PM2 / K11
J1739-25	1.818	0.29	186.4	17:39:33	-25:21:56	2.34	3.03	--	11.87	7.996	3.5	--	--	--	--	--	--	--	--	C16
J1753-38	0.621	--	168.4	17:53	-38:49	352.99	-5.96	26.3	--	--	3.9	--	--	440	--	--	2.5	123	30	BS10
J1753-12	0.405	--	73.2	17:52:53	-12:59	15.48	7.17	40.9	--	--	1.9	--	--	160	--	--	14	--	--	BS10
J1754-30	1.320	4.424	89.70	17:54:30	-30:15:03	359.87	-2.33	0.6	12.4	6.67	2.2	--	--	160	--	--	16	--	--	PM1 / K11 / C16
J1807-25	2.764	4.99	385	18:07:14	-25:57:20	4.99	-2.65	6.2	12.6	--	7.6	--	--	410	--	--	4	--	--	PM2 / K11
J1819-1458	4.263	575	196	18:19:34	-14:58:04	16.02	0.08	17.62	13.7	--	3.5	--	--	3600	--	--	3	323	55	PM1 / K11
J1825-33	1.271	--	43.2	18:26:02	-33:21	0.53	-9.35	14.4	--	--	1.17	--	--	360	--	--	16.5	--	--	BS10
J1826-1419	0.771	8.78	160	18:26:42	-14:19:22	17.4	-1.14	1.06	12.4	6.1	3.3	--	--	600	--	--	2	122	50	PM1 / K11
J1839-01	0.933	5.943	293.2	18:39:07	-01:41:56	30.01	1.96	0.62	12.38	6.4	6.3	--	--	100	--	--	15	--	--	PM1 / K11 / C16
J1840-1419	6.598	6.33	19.4	18:40:33	-14:19:07	18.94	-4.12	46	12.8	--	0.84	--	--	1700	--	--	2.6	60	35	PM2 / K11
J1843+01	1.26702	--	247.8	18:43	01	32.86	2.33	--	--	--	--	--	--	--	--	--	--	--	--	PALFA
J1846-0257	4.477	161	237	18:46:15	-02:57:36	29.69	-0.21	1.1	13.4	5.6	5.2	--	--	250	--	--	16	--	--	PM1 / K11
J1848-12	0.414	4.403	91.96	18:48:18	-12:43:30	21.2246	-5.8	1.25	11.64	7.17	2.4	--	--	450	--	--	2	--	--	PM1 / K11 / C16
J1849+0112	1.832	16	222	18:49:51	01:12:07	33.82	0.90	--	12.7	6.2	5.5	--	--	--	--	--	50	--	--	PALFA
J1849+15	2.233	--	77.4	18:49:21	15:17:07	46.38	7.36	--	--	--	3.3	--	--	--	--	--	--	--	--	GBNCC
J1850+15	1.384	--	24.7	18:50:09	15:32	46.19	7.09	--	--	--	1.8	--	--	200	--	--	6	--	--	BS10
J1853+04	1.32065	--	549.3	18:53	04	36.67	1.48	--	--	--	--	--	--	--	--	--	--	--	--	PALFA
J1854+0306	4.558	145	192.4	18:54:03	03:06:14	35.99	0.83	84	13.4	--	5.5	--	--	540	--	--	15.8	--	30	PALFA2 / K11
J1854-1557	3.453	4.52	150	18:54:54	-15:57:47	19.02	-7.95	25	--	--	4.75	--	--	50	--	--	65	-66	50	BS11
J1856+09	2.171	--	193.4	18:56	09	41.47	3.09	--	--	--	--	--	--	--	--	--	--	--	--	PALFA
J1859+07	--	--	303.1	18:59	07	40.02	1.51	--	--	--	--	--	--	--	--	--	--	--	--	PALFA
J1901+11	0.40914	--	268.9	19:01	11	43.81	2.90	--	--	--	--	--	--	--	--	--	--	--	--	PALFA
J1905+0414	--	--	383	19:05	04:14	38.25	-1.08	--	--	--	--	--	--	--	--	--	--	--	--	PALFA
J1905+09	0.218	--	433.4	19:05:20	9:02:32	42.5	1.1	--	--	--	6.9	--	--	--	--	--	--	--	--	PALFA
J1906+03	1.259	--	212	19:06	3	37.3	-1.9	105	--	--	5.3	--	--	--	--	--	2.58	--	--	PALFA
J1909+06	0.742	3.2239	36.7	19:09:29	06:41:26	40.91	-0.93	67	--	--	2.2	--	--	82	--	--	1.5	--	25	PALFA2
J1911+00	6.94	--	100	19:11:48	00:37	35.81	-4.25	0.31	--	--	3.3	--	--	250	--	--	5	--	--	PM1 / K11
J1912+08**	--	--	96	19:12	8	42.39	-0.89	1	--	--	3.6	--	--	--	--	--	1.31	--	--	PALFA
